fid,name,population,county,latitude,longitude,level,enrollment,level.1
22144,LEARNING ACADEMY,39,SAN DIEGO,32.863132,-116.941677,Elementary,35,Elementary
23771,LEO HAMEL K-8 ACADEMY,10,SAN DIEGO,32.835292,-116.755016,Elementary,8,Elementary
24188,LIFETIME MONTESSORI,6,SAN DIEGO,32.992079,-117.163898,Elementary,4,Elementary
2082,LIGHT & LIFE CHRISTIAN SCHOOL,205,SAN DIEGO,33.127813,-117.065056,Elementary,194,Elementary
2821,LIGHTHOUSE CHRISTIAN ACADEMY,107,SAN DIEGO,32.718985,-117.025148,Combined elementary and secondary,91,Combined elementary and secondary
2829,LUTHERAN HIGH SCHOOL OF SAN DIEGO,88,SAN DIEGO,32.734485,-117.077329,Secondary,77,Secondary
2816,MARANATHA CHRISTIAN SCHOOLS,586,SAN DIEGO,33.023814,-117.136914,Combined elementary and secondary,515,Combined elementary and secondary
2117,MARIA MONTESSORI ELEMENTARY SCHOOL,155,SAN DIEGO,32.82524,-117.209263,Elementary,131,Elementary
21468,MATER DEI CATHOLIC HIGH SCHOOL,715,SAN DIEGO,32.621251,-116.975544,Secondary,677,Secondary
2276,MIRA MESA CHRISTIAN SCHOOL,95,SAN DIEGO,32.897909,-117.120238,Elementary,88,Elementary
2109,MISSION BAY MONTESSORI ACADEMY,301,SAN DIEGO,32.843959,-117.228127,Elementary,273,Elementary
2051,MONTESSORI ACHIEVEMENT CENTRE,45,SAN DIEGO,32.743801,-116.968093,Combined elementary and secondary,42,Combined elementary and secondary
2723,MONTESSORI AMERICAN SCHOOL,26,SAN DIEGO,32.653116,-117.047986,Elementary,19,Elementary
2342,MONTESSORI ARTS & SCIENCES SCHOOL,37,SAN DIEGO,33.166077,-117.337306,Elementary,34,Elementary
2284,MONTESSORI CHILD DEVELOPMENT CENTER,17,SAN DIEGO,32.983794,-117.023219,Elementary,15,Elementary
2292,MONTESSORI CHILDREN'S HOUSE,23,SAN DIEGO,33.038765,-116.864149,Elementary,20,Elementary
24491,MONTESSORI CHILDRENS HOUSE,3,SAN DIEGO,33.062766,-117.298817,Elementary,1,Elementary
24494,MONTESSORI DISCOVERY SCHOOL,3,SAN DIEGO,32.830598,-117.00037,Elementary,2,Elementary
23810,MONTESSORI EXPLORER ELEMENTARY,14,SAN DIEGO,32.634557,-117.051499,Elementary,12,Elementary
23414,MONTESSORI HILLS ACADEMY,8,SAN DIEGO,32.626883,-117.031713,Elementary,5,Elementary
2037,MONTESSORI LEARNING CENTER,27,SAN DIEGO,32.929375,-117.129837,Elementary,24,Elementary
21856,MONTESSORI SCHOOL OF ENCINITAS,4,SAN DIEGO,33.043525,-117.257988,Elementary,2,Elementary
2734,MONTESSORI SCHOOL OF OCEANSIDE,54,SAN DIEGO,33.172689,-117.254403,Elementary,47,Elementary
24521,MONTESSORI SCHOOL OF OCEANSIDE # 2,6,SAN DIEGO,33.215938,-117.271849,Elementary,5,Elementary
20080,MONTESSORI SCHOOL OF SAN DIEGO,57,SAN DIEGO,32.736661,-117.174537,Elementary,46,Elementary
2799,MT ERIE CHRISTIAN ACADEMY,32,SAN DIEGO,32.700394,-117.09381,Elementary,28,Elementary
24551,MT HELIX ACADEMY,200,SAN DIEGO,32.786882,-116.998058,Elementary,174,Elementary
2302,MT HELIX ACADEMY - TIEE,200,SAN DIEGO,32.786895,-116.998151,Elementary,174,Elementary
2031,NATIVITY PREP ACADEMY,72,SAN DIEGO,32.711412,-117.12431,Elementary,64,Elementary
2797,NAZARETH SCHOOL,287,SAN DIEGO,32.784364,-117.107977,Elementary,275,Elementary
2017,NEW BRIDGE SCHOOL,60,SAN DIEGO,32.949749,-117.065064,Elementary,51,Elementary
24577,NEW GERNATIONS LEARNING CENTER PLUS-SCHOOL AGE,8,SAN DIEGO,32.915749,-117.11411,Elementary,7,Elementary
2006,NEW HAVEN YFS,79,SAN DIEGO,33.211669,-117.24718,Combined elementary and secondary,71,Combined elementary and secondary
2443,NEW LIFE CHRISTIAN ACADEMY,15,SAN DIEGO,32.558092,-117.052669,Combined elementary and secondary,14,Combined elementary and secondary
2683,NEW VENTURE CHRISTIAN SCHOOLS,82,SAN DIEGO,33.164186,-117.269961,Elementary,77,Elementary
2688,NORTH PARK CHRISTIAN SCHOOL,28,SAN DIEGO,32.747146,-117.130717,Elementary,22,Elementary
23056,OAK KNOLL MONTESSORI,13,SAN DIEGO,32.986606,-117.059624,Elementary,11,Elementary
2200,OCEAN VIEW CHRISTIAN ACADEMY,264,SAN DIEGO,32.584601,-117.080483,Combined elementary and secondary,248,Combined elementary and secondary
2453,OCEANSIDE ADVENTIST ELEMENTARY,148,SAN DIEGO,33.190436,-117.348584,Elementary,141,Elementary
2067,OLD MISSION MONTESSORI SCHOOL,186,SAN DIEGO,33.231656,-117.317245,Elementary,169,Elementary
2127,OUR LADY OF GRACE ELEMENTARY SCHOOL,296,SAN DIEGO,32.803665,-117.003893,Elementary,281,Elementary
2105,OUR LADY OF MT CARMEL SCHOOL,297,SAN DIEGO,32.557727,-117.0447,Elementary,285,Elementary
2102,OUR LADY OF PERPETUAL HELP SCHOOL,156,SAN DIEGO,32.859708,-116.908349,Elementary,144,Elementary
2080,OUR LADY OF THE SACRED HEART SCHOOL,145,SAN DIEGO,32.751643,-117.104696,Elementary,135,Elementary
2788,OUR LADYS SCHOOL,268,SAN DIEGO,32.712268,-117.142745,Elementary,253,Elementary
2689,PACIFIC ACADEMY,20,SAN DIEGO,33.048034,-117.277587,Secondary,16,Secondary
22164,PACIFIC RIDGE SCHOOL,482,SAN DIEGO,33.12278,-117.250047,Secondary,432,Secondary
24684,PEPPER VALLEY LEARNING CENTER,14,SAN DIEGO,32.821205,-116.931736,Elementary,13,Elementary
21534,PEPPERTREE MONTESSORI,62,SAN DIEGO,33.245576,-117.293834,Elementary,57,Elementary
2832,PILGRIM LUTHERAN SCHOOL,132,SAN DIEGO,32.642575,-117.089309,Elementary,122,Elementary
2088,RAMONA LUTHERAN SCHOOL,43,SAN DIEGO,33.035014,-116.875538,Elementary,39,Elementary
2461,RANCHO ENCINITAS ACADEMY,53,SAN DIEGO,33.047213,-117.272081,Elementary,45,Elementary
2116,REFORMATION LUTHERAN SCHOOL,74,SAN DIEGO,32.828101,-117.172376,Elementary,69,Elementary
2015,ROCKY VIEW,10,SAN DIEGO,33.167965,-117.075348,Elementary,8,Elementary
2091,SACRED HEART PARISH SCHOOL,254,SAN DIEGO,32.689628,-117.176259,Elementary,241,Elementary
2020,SAM & ROSE STEIN EDUCATION CENTER,114,SAN DIEGO,32.641178,-117.095486,Combined elementary and secondary,103,Combined elementary and secondary
2615,SAN DIEGO ACADEMY,334,SAN DIEGO,32.686843,-117.079059,Combined elementary and secondary,314,Combined elementary and secondary
2033,SAN DIEGO CENTER FOR CHILDREN ACADEMY,80,SAN DIEGO,32.80018,-117.166679,Combined elementary and secondary,71,Combined elementary and secondary
2780,SAN DIEGO FRENCH AMERICAN SCHOOL,275,SAN DIEGO,32.834764,-117.24752,Elementary,244,Elementary
2207,SAN DIEGO JEWISH ACADEMY,514,SAN DIEGO,32.934417,-117.22953,Combined elementary and secondary,513,Combined elementary and secondary
2698,SANDERLING WALDORF SCHOOL,148,SAN DIEGO,33.032724,-117.272775,Elementary,130,Elementary
2094,SANTA FE CHRISTIAN SCHOOLS,997,SAN DIEGO,32.992121,-117.257135,Combined elementary and secondary,923,Combined elementary and secondary
2011,SANTA FE MONTESSORI SCHOOL,68,SAN DIEGO,32.990752,-117.25444,Elementary,64,Elementary
24911,SANTA SOPHIA ACADEMY,229,SAN DIEGO,32.749038,-116.983544,Elementary,218,Elementary
2814,SCHOOL OF THE MADELEINE,570,SAN DIEGO,32.779161,-117.199415,Elementary,539,Elementary
2380,SCRIPPS MONTESSORI SCHOOL,39,SAN DIEGO,32.898838,-117.113379,Elementary,32,Elementary
2183,SHEPHERD OF THE HILLS LUTHERAN SCHOOL,32,SAN DIEGO,32.793546,-117.00191,Elementary,30,Elementary
2731,SIERRA ACADEMY OF SAN DIEGO,52,SAN DIEGO,32.912273,-117.113398,Combined elementary and secondary,47,Combined elementary and secondary
2121,SOILLE SAN DIEGO HEBREW DAY SCHOOL,285,SAN DIEGO,32.808797,-117.144955,Elementary,249,Elementary
24954,SOLANA BEACH PRESBYTERIAN PRESCHOOL,21,SAN DIEGO,32.995781,-117.261711,Elementary,20,Elementary
2021,SOUTH BAY CHRISTIAN ACADEMY,28,SAN DIEGO,32.647425,-117.086387,Combined elementary and secondary,22,Combined elementary and secondary
2620,SOUTHWESTERN CHRISTIAN SCHOOL,135,SAN DIEGO,32.618125,-117.078904,Elementary,126,Elementary
