fid,name,population,county,latitude,longitude,level,enrollment,level.1
2584,MERCY HIGH SCHOOL,470,SAN FRANCISCO,37.729637,-122.473545,Secondary,442,Secondary
2557,MISSION DOLORES ACADEMY,233,SAN FRANCISCO,37.764182,-122.42775,Elementary,224,Elementary
2331,MONTESSORI HOUSE OF CHILDREN,10,SAN FRANCISCO,37.785344,-122.423083,Elementary,8,Elementary
24542,MOTHER GOOSE SCHOOL,8,SAN FRANCISCO,37.783018,-122.487966,Elementary,7,Elementary
2649,OAKES CHILDREN'S CENTER,25,SAN FRANCISCO,37.762978,-122.467057,Combined elementary and secondary,21,Combined elementary and secondary
2245,OLYMPIA INSTITUTE,11,SAN FRANCISCO,37.782856,-122.469425,Combined elementary and secondary,8,Combined elementary and secondary
2593,OUR LADY OF THE VISITACION SCHOOL,276,SAN FRANCISCO,37.709397,-122.409324,Elementary,267,Elementary
23184,PARKSIDE PRESCHOOL & KINDERGARTEN,34,SAN FRANCISCO,37.742532,-122.476014,Elementary,12,Elementary
2523,PRESIDIO HILL SCHOOL,203,SAN FRANCISCO,37.788579,-122.456556,Elementary,181,Elementary
2482,RISE INSTITUTE,56,SAN FRANCISCO,37.752933,-122.394774,Combined elementary and secondary,46,Combined elementary and secondary
2252,RUSSIAN-AMERICAN INTERNATIONAL SCHOOL,64,SAN FRANCISCO,37.748689,-122.479144,Elementary,58,Elementary
